,LavatoryID,Description,City,Street,PostalCode,Country,Longitude,Latitude,isOwnedByWall,isHandicappedAccessible,Price,canBePayedWithCoins,canBePayedInApp,canBePayedWithNFC,hasChangingTable,LabelID,hasUrinal,address,timings,opening_hour,closing_hour,opening_hours
179,Wall_122633,"Wall CT, Joachim-Gottschalk-Weg",Berlin,Joachim-Gottschalk-Weg 12-14 (0-24 Uhr),12353,Deutschland,"13,4766121902363","52,4226602135946",Yes,Yes,"0,50",Yes,Yes,Yes,No/Unknown,Berliner Toilette,No,Joachim-Gottschalk-Weg 12-14 ,0-24,0,24,0:00-24:00
180,Wall_122812,"Wall CT, Hallesches Ufer",Berlin,Hallesches Ufer   (0-24 Uhr),10969,Deutschland,"13,3913257043903","52,4979512797239",Yes,Yes,"0,50",Yes,Yes,Yes,No/Unknown,Berliner Toilette,Yes,Hallesches Ufer   ,0-24,0,24,0:00-24:00
181,Wall_122814,"Wall CT, Max.-Kraft-Platz, Katzlerstr.",Berlin,"Max.-Kraft-Platz, Katzlerstr. ggü. 20 (0-24 Uhr)",10823,Deutschland,"13,3690376999477","52,4927579527105",Yes,Yes,"0,50",Yes,Yes,Yes,Yes,Berliner Toilette,Yes,"Max.-Kraft-Platz, Katzlerstr. ggü. 20 ",0-24,0,24,0:00-24:00
182,Wall_122815,"Wall CT, Büsingstr.",Berlin,Büsingstr. ggü. 2 (0-24 Uhr),12161,Deutschland,"13,3261596400353","52,4656852997629",Yes,Yes,"0,50",Yes,Yes,Yes,Yes,Berliner Toilette,No,Büsingstr. ggü. 2 ,0-24,0,24,0:00-24:00
183,Wall_122816,"Wall CT, Stübbenstr.",Berlin,Stübbenstr.   (0-24 Uhr),10779,Deutschland,"13,3379572238377","52,4884851121927",Yes,Yes,"0,50",Yes,Yes,Yes,Yes,Berliner Toilette,Yes,Stübbenstr.   ,0-24,0,24,0:00-24:00
184,Wall_122817,"Wall CT, Röblingstr.",Berlin,Röblingstr. 161 (0-24 Uhr),12105,Deutschland,"13,3665367675903","52,4498735995252",Yes,Yes,"0,50",Yes,Yes,Yes,Yes,Berliner Toilette,No,Röblingstr. 161 ,0-24,0,24,0:00-24:00
185,Wall_122818,"Wall CT, Dennewitzplatz, Dennewitzstr.",Berlin,"Dennewitzplatz, Dennewitzstr. ggü. 22 (0-24 Uhr)",10783,Deutschland,"13,3669367751199","52,4971543225881",Yes,Yes,"0,50",Yes,Yes,Yes,Yes,Berliner Toilette,Yes,"Dennewitzplatz, Dennewitzstr. ggü. 22 ",0-24,0,24,0:00-24:00
186,Wall_122819,"Wall CT, Holzmannstr.",Berlin,Holzmannstr. ggü. 23 (0-24 Uhr),12099,Deutschland,"13,4182252628035","52,4625187173942",Yes,Yes,"0,50",Yes,Yes,Yes,Yes,Berliner Toilette,Yes,Holzmannstr. ggü. 23 ,0-24,0,24,0:00-24:00
187,Wall_122820,"Wall CT, Wartburgplatz, Martin-Luther-Str.",Berlin,"Wartburgplatz, Martin-Luther-Str.   (0-24 Uhr)",10823,Deutschland,"13,3453017022547","52,4879542644958",Yes,Yes,"0,50",Yes,Yes,Yes,No/Unknown,Berliner Toilette,Yes,"Wartburgplatz, Martin-Luther-Str.   ",0-24,0,24,0:00-24:00
188,Wall_122821,"Wall CT, Motzstr.",Berlin,Motzstr. ggü. 41 (0-24 Uhr),10777,Deutschland,"13,345158579948","52,4969068236383",Yes,Yes,"0,50",Yes,Yes,Yes,Yes,Berliner Toilette,Yes,Motzstr. ggü. 41 ,0-24,0,24,0:00-24:00
