,LavatoryID,Description,City,Street,opening_hours,street_address,PostalCode,Country,Longitude,Latitude,isOwnedByWall,isHandicappedAccessible,Price,canBePayedWithCoins,canBePayedInApp,canBePayedWithNFC,hasChangingTable,LabelID,hasUrinal,ratings,Comments
156,Wall_122573,"Wall CT, Potsdamer Str.",Berlin,Potsdamer Str. 109 (0-24 Uhr),0:00-24:00,Potsdamer Str. 109 ,10785,Deutschland,13.3630616908073,52.4998790525937,Yes,Yes,"0,50",Yes,Yes,Yes,No/Unknown,Berliner Toilette,Yes,18,
262,Wall_124026,"Wall CT, Lohmühleninsel, Lohmühlenstr.",Berlin,"Lohmühleninsel, Lohmühlenstr.   (0-24 Uhr)",0:00-24:00,"Lohmühleninsel, Lohmühlenstr.   ",10997,Deutschland,13.4494981765747,52.4966697692871,Yes,Yes,"0,50",Yes,Yes,Yes,Yes,Berliner Toilette,Yes,18,
421,Fremd_173,"Toilette Dörpfeldstr., 12849 Berlin",Berlin,"Dörpfeldstr., 12849 Berlin",,"Dörpfeldstr., 12849 Berlin",12849,Deutschland,13.5481114664368,52.4379475873976,No,Yes,"0,00",No,No,No,No/Unknown,Toilette nicht von Wall,No,18,
266,Wall_124359,"Wall CT, Schleidenplatz, Waldeyerstr.",Berlin,"Schleidenplatz, Waldeyerstr. ggü. 5 (0-24 Uhr)",0:00-24:00,"Schleidenplatz, Waldeyerstr. ggü. 5 ",10247,Deutschland,13.472649347097,52.5156735344464,Yes,Yes,"0,50",Yes,Yes,Yes,Yes,Berliner Toilette,Yes,18,
153,Wall_122530,"Wall CT, Turmstr.",Berlin,Turmstr. ggü. 20a-21 (0-24 Uhr),0:00-24:00,Turmstr. ggü. 20a-21 ,10178,Deutschland,13.3480949658845,52.526093090526,Yes,Yes,"0,50",Yes,Yes,Yes,No/Unknown,Berliner Toilette,Yes,18,
357,Fremd_1,Toilette Am Denkmal für die ermordeten Juden Europas (Hannah-Arendt-Straße | Ecke Cora-Berliner-Straße) ,Berlin,Am Denkmal für die ermordeten Juden Europas (Hannah-Arendt-Straße | Ecke Cora-Berliner-Straße) ,,Am Denkmal für die ermordeten Juden Europas ,10117,Deutschland,13.38045,52.51376,No,Yes,"0,00",No,No,No,No/Unknown,Toilette nicht von Wall,No,18,
230,Wall_123498,"Wall CT, Edinburger Str.",Berlin,Edinburger Str. 38 (0-24 Uhr),0:00-24:00,Edinburger Str. 38 ,13349,Deutschland,13.3483289012,52.5561112917,Yes,Yes,"0,50",Yes,Yes,Yes,Yes,Berliner Toilette,Yes,18,
206,Wall_123385,"Wall CT, Thomashöhe, Thomasstr.",Berlin,"Thomashöhe, Thomasstr. ggü. 11-15 (0-24 Uhr)",0:00-24:00,"Thomashöhe, Thomasstr. ggü. 11-15 ",12053,Deutschland,13.438905760934,52.4737141412463,Yes,Yes,"0,50",Yes,Yes,Yes,No/Unknown,Berliner Toilette,Yes,18,
191,Wall_123024,"Wall CT, Mariannenplatz",Berlin,Mariannenplatz 2-3 (0-24 Uhr),0:00-24:00,Mariannenplatz 2-3 ,10997,Deutschland,13.424531,52.50307,Yes,Yes,"0,50",Yes,Yes,Yes,Yes,Berliner Toilette,Yes,18,
188,Wall_122942,"Wall CT, Rudolfplatz, Modersohnstr.",Berlin,"Rudolfplatz, Modersohnstr. ggü. 53-55 (0-24 Uhr)",0:00-24:00,"Rudolfplatz, Modersohnstr. ggü. 53-55 ",10245,Deutschland,13.4568589044744,52.5026830728314,Yes,Yes,"0,50",Yes,Yes,Yes,No/Unknown,Berliner Toilette,Yes,18,
224,Wall_123491,"Wall CT, Görlitzer Park, Zugang",Berlin,"Görlitzer Park, Zugang (0-24 Uhr)",0:00-24:00,"Görlitzer Park, Zugang ",10999,Deutschland,13.4377054928347,52.4971951837104,Yes,Yes,"0,50",Yes,Yes,Yes,No/Unknown,Berliner Toilette,Yes,18,
182,Wall_122818,"Wall CT, Dennewitzplatz, Dennewitzstr.",Berlin,"Dennewitzplatz, Dennewitzstr. ggü. 22 (0-24 Uhr)",0:00-24:00,"Dennewitzplatz, Dennewitzstr. ggü. 22 ",10783,Deutschland,13.3669367751199,52.4971543225881,Yes,Yes,"0,50",Yes,Yes,Yes,Yes,Berliner Toilette,Yes,18,
303,Wall_5336,Toilette Aßmannstr. (Marktplatz Friedrichshagen),Berlin,Bölschestr. 113 (7-22 Uhr),7:00-22:00,Bölschestr. 113 ,12587,Deutschland,13.6245833333333,52.4506666666667,Yes,Yes,"0,00",No,No,No,No/Unknown,weitere ÖTs (z.B. Sanitärcontainer),No,18,
274,Wall_124435,"Wall CT, Südstern",Berlin,Südstern (0-24 Uhr),0:00-24:00,Südstern ,10967,Deutschland,13.4073584199877,52.4894935876301,Yes,Yes,"0,50",Yes,Yes,Yes,No/Unknown,Berliner Toilette,Yes,18,
430,Fremd_181,"Toilette Friedhof Rahnsdorf, Fürstenwalder Allee 93, 12589 Berlin",Berlin,"Friedhof Rahnsdorf, Fürstenwalder Allee 93, 12589 Berlin",,"Friedhof Rahnsdorf, Fürstenwalder Allee 93, 12589 Berlin",12589,Deutschland,13.69588,52.43754,No,Yes,"0,00",No,No,No,No/Unknown,Toilette nicht von Wall,No,18,
428,Fremd_18,Toilette Mariannenplatz,Berlin,Mariannenplatz,,Mariannenplatz,10997,Deutschland,13.42465,52.5031,No,Yes,"0,00",No,No,No,No/Unknown,Toilette nicht von Wall,No,18,
